,X,Y,CTY_CODE,ADTTOTAL,BRIDGE_ID,COVERED_BRIDGE,CUSTODIAN,DECK_AREA,DECKWIDTH,DEPT_MAIN_MATERIAL_TYPE,DEPT_MAIN_PHYSICAL_TYPE,DESIGNMAIN,HISTSIGN,LENGTH,MATERIALMAIN,NBI_RATING,STATE_LOCAL,STRRATING,YEARBUILT,YEARRECON,FLOOD_INSP,KIND_HWY
30687,-76.9850906229,41.6119619697,58,741.0,58041405901646,0.0,1.0,200.0,0.0,2.0,1.0,1.0,0.0,10.0,1.0,1.0,1,4.0,1936.0,0.0,0.0,3.0
30688,-77.041332928,41.8039911797,58,2717.0,58054900200000,0.0,1.0,1145.59998,35.7999992,2.0,1.0,4.0,0.0,32.0,1.0,0.0,1,6.0,1953.0,0.0,0.0,3.0
30690,-77.1527681023,40.9006299845,59,289.0,59300300500064,0.0,1.0,739.200012,33.5999985,2.0,1.0,19.0,0.0,22.0,1.0,0.0,1,7.0,1977.0,0.0,0.0,3.0
30692,-79.5692053616,41.62929829,61,373.0,61300200500637,0.0,1.0,3408.0,35.5,4.0,2.0,5.0,0.0,96.0,5.0,0.0,1,7.0,1978.0,0.0,0.0,3.0
30693,-79.504052879,41.6404070956,61,101.0,61300300300000,0.0,1.0,287.100006,26.1000004,3.0,1.0,1.0,0.0,11.0,1.0,0.0,1,6.0,1934.0,1986.0,0.0,3.0
30694,-79.3640414001,41.6939795154,61,330.0,61300700502886,0.0,1.0,204.0,0.0,1.0,9.0,19.0,0.0,12.0,3.0,1.0,1,4.0,1962.0,0.0,0.0,3.0
30695,-79.3828653485,41.8330370259,61,702.0,61300702801843,0.0,1.0,4368.3999,32.5999985,4.0,2.0,5.0,0.0,134.0,5.0,0.0,1,7.0,1988.0,0.0,0.0,3.0
30696,-79.4363974187,41.7055930853,61,354.0,61300900600492,0.0,1.0,1860.50012,30.5,4.0,2.0,5.0,0.0,61.0,5.0,1.0,1,7.0,1995.0,0.0,0.0,3.0
30697,-80.4333030933,40.1162037955,62,31979.0,62007000502105,0.0,1.0,1296.0,0.0,2.0,1.0,19.0,0.0,12.0,1.0,0.0,1,6.0,1960.0,1995.0,0.0,1.0
30698,-80.2036512708,40.1675117623,62,55998.0,62007002001815,0.0,1.0,624.000061,0.0,2.0,1.0,19.0,0.0,8.0,1.0,0.0,1,7.0,1960.0,0.0,0.0,1.0
30699,-80.4700177228,40.1623240552,62,41.0,62300400100094,0.0,1.0,2059.0,35.5,4.0,2.0,5.0,0.0,58.0,5.0,1.0,1,4.0,1964.0,0.0,0.0,3.0
30700,-80.491772974,40.834311377,4,6210.0,4005105700938,0.0,1.0,448.00003,0.0,2.0,1.0,19.0,0.0,14.0,1.0,0.0,1,6.0,1940.0,0.0,0.0,3.0
30701,-80.3513740829,40.0953992744,62,296.0,62300900900000,0.0,1.0,465.5,24.5,1.0,6.0,2.0,0.0,19.0,3.0,0.0,1,5.0,1934.0,1949.0,0.0,3.0
30702,-80.3625693753,40.1071296747,62,300.0,62300901200000,0.0,1.0,1863.0,27.0,2.0,1.0,4.0,0.0,69.0,1.0,1.0,1,4.0,1945.0,0.0,0.0,3.0
30704,-80.3699695193,40.1522157414,62,362.0,62300901901099,0.0,1.0,1562.00012,35.5,4.0,2.0,5.0,0.0,44.0,5.0,1.0,1,4.0,1964.0,0.0,0.0,3.0
30705,-80.2940421682,40.1045690081,62,317.0,62301400502143,0.0,1.0,126.0,0.0,1.0,9.0,19.0,0.0,9.0,3.0,0.0,1,6.0,1958.0,0.0,0.0,3.0
30707,-80.5040315786,40.076937325,62,1597.0,62302300300000,0.0,1.0,783.0,27.0,2.0,1.0,4.0,0.0,29.0,1.0,0.0,1,6.0,1953.0,0.0,0.0,3.0
30709,-75.2697505416,41.6396817195,63,237.0,63400900400000,0.0,1.0,1858.50012,31.5,4.0,2.0,6.0,0.0,59.0,5.0,0.0,1,6.0,1984.0,0.0,0.0,3.0
30710,-75.7797246978,41.9468875476,57,399.0,57102200700000,0.0,1.0,160.0,0.0,1.0,9.0,19.0,0.0,8.0,3.0,0.0,1,5.0,1949.0,0.0,0.0,3.0
30712,-77.0387241177,40.8885931633,59,3355.0,59030400601859,0.0,1.0,1228.50012,27.2999992,2.0,1.0,4.0,0.0,45.0,1.0,1.0,1,5.0,1941.0,2003.0,0.0,3.0
30717,-76.2098747165,40.7654377374,53,8191.0,53006104780825,0.0,1.0,672.000061,0.0,6.0,9.0,19.0,0.0,16.0,8.0,0.0,1,5.0,1940.0,0.0,0.0,3.0
30718,-76.3369461731,40.7798676457,53,6856.0,53006106401567,0.0,1.0,2531.2002,45.2000008,1.0,6.0,2.0,0.0,56.0,3.0,0.0,1,5.0,1940.0,1987.0,0.0,3.0
30719,-76.4333695388,40.526658664,53,11999.0,53008109900096,0.0,1.0,8577.5,36.5,4.0,2.0,6.0,0.0,234.999985,5.0,0.0,1,6.0,1968.0,2000.0,1.0,1.0
30723,-77.3175054168,40.7099732622,54,950.0,54400300300254,0.0,1.0,1474.0,33.5,2.0,1.0,4.0,0.0,44.0,1.0,0.0,1,6.0,1948.0,0.0,0.0,3.0
30725,-77.2722434684,40.7706787676,54,300.0,54400500500970,0.0,1.0,891.0,27.0,3.0,1.0,22.0,0.0,33.0,1.0,0.0,1,7.0,1951.0,2009.0,0.0,3.0
30726,-77.2956850363,40.7314984331,54,259.0,54400600200835,0.0,1.0,2017.80005,34.2000008,1.0,7.0,2.0,0.0,59.0,3.0,0.0,1,7.0,1966.0,0.0,1.0,3.0
30728,-76.5031741665,40.8324121161,49,516.0,49202400100728,0.0,1.0,1797.59998,32.0999985,4.0,2.0,5.0,0.0,56.0,5.0,0.0,1,4.0,1985.0,0.0,0.0,3.0
30729,-76.1497827227,40.8777018604,53,3033.0,53092402000100,0.0,1.0,469.5,31.3000011,2.0,1.0,1.0,0.0,15.0,1.0,1.0,1,4.0,1930.0,0.0,0.0,3.0
30733,-77.7989699981,41.8290896569,52,188.0,52100102103387,0.0,1.0,958.999939,27.3999977,2.0,1.0,4.0,0.0,35.0,1.0,1.0,1,4.0,1941.0,0.0,0.0,3.0
30734,-77.7299223432,41.876787271,52,227.0,52100301800000,0.0,1.0,352.79999,29.3999977,2.0,1.0,1.0,0.0,12.0,1.0,1.0,1,4.0,1930.0,1965.0,0.0,3.0
30735,-77.7621951877,41.9001146846,52,873.0,52100302400331,0.0,1.0,160.0,0.0,1.0,9.0,19.0,0.0,8.0,3.0,1.0,1,3.0,1950.0,0.0,0.0,3.0
30737,-76.5108679466,40.7162850793,53,140.0,53402200600366,0.0,1.0,240.0,0.0,1.0,9.0,19.0,0.0,10.0,3.0,1.0,1,4.0,1951.0,0.0,0.0,3.0
30739,-79.2360442804,41.9849316583,61,420.0,61100501202221,0.0,1.0,198.0,0.0,1.0,9.0,19.0,0.0,11.0,3.0,0.0,1,5.0,1995.0,0.0,0.0,3.0
30740,-79.9097167448,40.1939226445,62,3641.0,62083702200000,0.0,1.0,360.000061,40.0,2.0,1.0,19.0,0.0,9.0,1.0,1.0,1,6.0,1980.0,0.0,1.0,3.0
30741,-79.9723338055,40.2322643967,62,3927.0,62083702602968,0.0,1.0,304.0,0.0,2.0,1.0,19.0,0.0,8.0,1.0,0.0,1,5.0,1931.0,0.0,0.0,3.0
30745,-80.0048371734,40.1317965201,62,3919.0,62091701501175,0.0,1.0,2009.0,41.0,4.0,2.0,5.0,0.0,49.0,5.0,0.0,1,6.0,1986.0,0.0,0.0,3.0
30747,-80.1987634184,40.2778960554,62,7122.0,62098000802336,0.0,1.0,480.19998,34.2999992,2.0,1.0,1.0,0.0,14.0,1.0,1.0,1,6.0,1931.0,0.0,0.0,3.0
30749,-75.3215335638,41.3055868352,63,4181.0,63019101000000,0.0,1.0,537.200012,31.6000004,2.0,1.0,1.0,0.0,17.0,1.0,0.0,1,5.0,1934.0,1982.0,1.0,3.0
30750,-75.3629159076,41.344630975,63,1728.0,63019101601456,0.0,1.0,891.0,33.0,4.0,2.0,5.0,0.0,27.0,5.0,1.0,1,4.0,1957.0,0.0,1.0,3.0
30752,-75.2255089274,41.5882946703,63,668.0,63200900700000,0.0,1.0,611.600037,27.8000011,3.0,1.0,1.0,0.0,22.0,1.0,0.0,1,6.0,1988.0,0.0,0.0,3.0
30753,-75.4302281833,41.3472557242,63,457.0,63300200300000,0.0,1.0,216.0,0.0,1.0,9.0,19.0,0.0,12.0,3.0,1.0,1,4.0,1965.0,0.0,0.0,3.0
30754,-75.3758387225,41.3319402095,63,58.0,63300201100000,0.0,1.0,1006.40009,29.6000004,2.0,1.0,4.0,0.0,34.0,1.0,0.0,1,6.0,1958.0,0.0,0.0,3.0
30755,-75.405350095,41.3719637201,63,278.0,63300400600023,0.0,1.0,3245.0,27.5,1.0,6.0,2.0,0.0,118.0,3.0,1.0,1,5.0,1958.0,0.0,0.0,3.0
30759,-79.6957784417,41.4121731907,60,4428.0,60006205301591,0.0,1.0,1672.00012,44.0,2.0,1.0,4.0,0.0,38.0,1.0,0.0,1,5.0,1942.0,0.0,0.0,2.0
30761,-76.4442610802,41.3161215773,56,87.0,56200300600000,0.0,1.0,634.5,23.5,1.0,6.0,2.0,0.0,27.0,3.0,0.0,1,6.0,1930.0,2003.0,0.0,3.0
30763,-76.4861259974,41.3689918873,56,9.0,56200700120000,0.0,1.0,708.0,29.5,2.0,1.0,1.0,0.0,24.0,1.0,0.0,1,6.0,1962.0,0.0,1.0,3.0
30764,-76.5527649764,41.3631465237,56,31.0,56300300320000,0.0,1.0,1830.00012,30.5,4.0,2.0,5.0,0.0,60.0,5.0,0.0,1,5.0,1958.0,0.0,1.0,3.0
30766,-79.5099292088,40.1836154692,64,5141.0,64098103803225,0.0,1.0,574.0,41.0,2.0,1.0,1.0,0.0,14.0,1.0,0.0,1,6.0,1944.0,1956.0,0.0,3.0
30767,-79.4851209521,40.211711171,64,1882.0,64098104401036,0.0,1.0,2528.1001,47.7000008,4.0,2.0,6.0,0.0,53.0,5.0,0.0,1,7.0,1985.0,0.0,0.0,3.0
30770,-79.4197337651,40.3910495629,64,5610.0,64098108201825,0.0,1.0,1344.00012,0.0,2.0,1.0,19.0,0.0,32.0,1.0,1.0,1,4.0,1947.0,0.0,0.0,3.0
30771,-79.4222968467,40.4137902447,64,3541.0,64098108502158,0.0,1.0,384.0,0.0,2.0,1.0,19.0,0.0,12.0,1.0,0.0,1,5.0,1947.0,0.0,0.0,3.0
30772,-79.4797920958,40.152607301,64,1879.0,64098200200745,0.0,1.0,1375.0,25.0,1.0,6.0,2.0,0.0,55.0,3.0,1.0,1,6.0,1941.0,0.0,0.0,3.0
30774,-79.5229749394,41.9484101509,61,972.0,61095700900000,0.0,1.0,1320.0,27.5,4.0,2.0,5.0,0.0,48.0,5.0,0.0,1,7.0,1937.0,1988.0,0.0,3.0
30775,-79.3706901785,41.9716343329,61,1365.0,61095702401967,0.0,1.0,231.000015,0.0,1.0,9.0,19.0,0.0,11.0,3.0,0.0,1,7.0,1983.0,0.0,1.0,3.0
30776,-79.2706830017,41.9753135527,61,1608.0,61095703502372,0.0,1.0,756.70007,32.9000015,2.0,1.0,1.0,0.0,23.0,1.0,0.0,1,5.0,1954.0,0.0,0.0,3.0
30777,-79.2135285527,41.960470202,61,1705.0,61095704200000,0.0,1.0,160.0,0.0,1.0,9.0,19.0,0.0,8.0,3.0,0.0,1,6.0,1968.0,0.0,0.0,3.0
30778,-79.4256658975,41.9149902789,61,543.0,61095800300177,0.0,1.0,1499.59998,32.5999985,4.0,2.0,5.0,0.0,46.0,5.0,0.0,1,7.0,1988.0,0.0,0.0,3.0
30779,-76.9785008948,40.9769091917,59,1055.0,59100100501475,0.0,1.0,5744.10059,46.7000008,4.0,2.0,6.0,0.0,123.000008,5.0,0.0,1,6.0,1973.0,0.0,0.0,3.0
30780,-77.0421518714,40.9747047957,59,1655.0,59100200100591,0.0,1.0,2023.5,35.5,2.0,1.0,1.0,0.0,57.0,1.0,0.0,1,6.0,1965.0,0.0,0.0,3.0
30782,-78.9359986985,40.2177044228,55,910.0,55403501400724,0.0,1.0,616.0,0.0,2.0,1.0,19.0,0.0,14.0,1.0,0.0,1,6.0,1969.0,0.0,0.0,3.0
30783,-78.9155663035,40.2689868104,55,2309.0,55404101000119,0.0,1.0,600.0,30.0,3.0,1.0,1.0,0.0,20.0,1.0,1.0,1,6.0,1937.0,2010.0,0.0,3.0
30784,-79.0130232851,40.0861779063,55,191.0,55404900120000,0.0,1.0,513.0,27.0,2.0,1.0,1.0,0.0,19.0,1.0,0.0,1,5.0,1946.0,0.0,1.0,3.0
30786,-79.4465134762,40.7974753947,3,107.0,3200800403254,0.0,1.0,1028.6001,27.8000011,2.0,1.0,4.0,0.0,37.0,1.0,1.0,1,4.0,1941.0,0.0,0.0,3.0
30788,-79.5400906647,41.9391006076,61,2988.0,61000600802458,0.0,1.0,1526.0,43.5999985,4.0,2.0,6.0,0.0,35.0,5.0,0.0,1,8.0,1996.0,0.0,0.0,2.0
30789,-79.4310721008,41.907561641,61,3116.0,61000602100000,0.0,1.0,413.00003,41.2999992,2.0,1.0,1.0,0.0,10.0,1.0,1.0,1,3.0,1955.0,1962.0,0.0,2.0
