,Latitude,Longitude,Structure_Material,Structure_Type,Town,Bridge_Owner,Bridge_Identification_Number__B,Year_Built,Year_Reconstructed,Structure_Length,Structurally_Deficient,Structure_Category
5011,42.148575,-71.12942997,2.0,19,Canton,0,8KU,2011,0,13.3,0,2
5012,42.1449,-71.149334,2.0,4,Canton,0,8KV,1925,0,4.9,0,2
5013,42.24422297,-71.17071197,2.0,19,Dedham,0,8KW,1974,0,6.1,0,2
5014,42.405819,-72.538318,6.0,19,Amherst,0,0VA,1958,0,19.8,0,1
5015,42.415021,-72.537164,6.0,19,Amherst,0,0VB,1958,0,19.7,0,1
5016,42.41822297,-72.53681297,6.0,19,Amherst,0,0VC,1958,0,7.6,0,1
5017,42.467626,-72.584867,1.0,9,Deerfield,0,0VD,1937,1994,358.1,0,1
5018,42.38750997,-72.54046597,6.0,19,Hadley,0,0VE,1958,0,18.9,0,1
5021,42.33341389,-71.1125,2.0,11,Brookline,0,8Q9,1935,0,4.6,0,2
5024,42.09127397,-73.265494,1.0,2,New Marlborough,0,06Q,1938,0,14.0,1,1
5025,42.703094,-73.16827897,3.0,5,North Adams,0,06T,1985,0,29.0,0,1
5026,42.156888,-73.07328697,3.0,6,Otis,0,06V,1938,2011,24.9,0,1
5027,42.22633333,-72.49808333,2.0,1,Granby,0,BV5,1935,0,3.0,0,2
5028,42.44536111,-72.18122222,8.0,2,Petersham,0,BV6,1960,0,4.1,0,2
5031,42.61032983,-71.45981089,2.0,19,Westford,0,BV9,2016,0,3.7,0,2
5032,42.52177778,-72.4775,2.0,1,Montague,0,BVA,1950,0,4.0,1,2
5033,42.28373783,-71.632694,2.0,4,Westborough,0,1M2,1930,0,14.0,0,1
5034,42.28853183,-71.585734,1.0,2,Westborough,0,1M3,1974,0,37.8,0,1
5035,42.283453,-71.638563,2.0,4,Westborough,0,1M4,1930,0,13.0,0,1
5036,42.297141,-71.48636897,4.0,2,Framingham,0,A4K,1989,0,101.2,0,1
5037,42.09733897,-72.085547,4.0,2,Sturbridge,0,1M5,1961,2011,44.4,0,1
5038,42.55171283,-71.791707,2.0,4,Fitchburg,0,1P5,1937,0,11.6,0,1
5039,42.552311,-71.79468083,2.0,11,Fitchburg,0,1P6,1937,0,10.7,0,1
5040,42.549846,-71.847936,2.0,4,Fitchburg,0,1P7,1947,0,11.9,1,1
5041,42.548949,-71.843529,2.0,4,Fitchburg,0,1P8,1946,0,10.2,0,1
5042,42.21,-73.095,1.0,2,Otis,0,06W,1930,1969,8.8,1,1
5043,42.15359,-73.075174,2.0,1,Otis,0,06Y,1938,0,7.0,0,1
5044,42.19523197,-73.07352197,1.0,2,Otis,0,070,1939,0,19.5,0,1
5045,42.22974297,-73.111597,1.0,19,Otis,0,071,1959,0,15.2,0,1
5047,42.11177778,-72.77411111,1.0,19,Westfield,0,BVE,1950,0,4.9,1,2
